sensor_id,humidity,parcel
1000,30.9,West-2
1001,35.0,West-1
1002,47.5,East-1
1003,56.2,East-2
1004,54.2,North-1
1005,43.5,South-1
1006,36.6,East-1
1007,56.6,West-2
1008,55.1,East-1
1009,31.0,South-2
1010,40.1,West-2
1011,51.1,West-2
1012,45.9,South-1
1013,56.5,East-1
1014,50.1,West-1
1015,59.3,East-1
1016,57.6,East-1
1017,33.7,West-1
1018,59.1,East-1
1019,33.4,East-2
1020,37.0,North-2
1021,57.7,South-1
1022,50.2,East-1
1023,30.6,South-1
1024,58.8,South-1
1025,51.4,East-2
1026,45.6,South-1
1027,31.1,West-2
1028,54.1,East-2
1029,41.1,South-1
1030,52.9,East-2
1031,39.5,North-1
1032,50.1,North-2
1033,35.3,South-1
1034,36.5,North-1
1035,34.2,South-1
1036,43.6,West-2
1037,30.3,West-1
1038,50.4,East-1
1039,45.3,East-1
1040,44.2,East-2
1041,48.6,East-2
1042,58.8,West-2
1043,52.7,South-1
1044,51.2,North-1
1045,50.0,West-1
1046,47.2,East-2
1047,49.8,North-2
1048,41.4,West-2
1049,39.2,South-2
1050,31.1,South-1
1051,43.3,North-1
1052,31.0,West-2
1053,53.0,West-1
1054,54.8,South-2
1055,54.4,West-1
1056,48.4,West-1
1057,53.9,East-2
1058,48.1,West-1
1059,55.3,North-1
1060,47.3,West-2
1061,46.9,West-1
1062,59.9,North-1
1063,57.0,West-1
1064,39.1,North-2
1065,37.5,East-2
1066,38.9,North-1
1067,51.6,North-2
1068,43.3,North-2
1069,40.4,West-2
1070,35.3,East-2
1071,51.3,West-2
1072,51.6,East-1
1073,40.4,South-1
1074,36.6,East-2
1075,36.1,West-1
1076,42.4,West-1
1077,33.2,South-1
1078,32.3,North-1
1079,35.3,North-2
1080,38.7,South-1
1081,49.9,South-2
1082,52.7,West-1
1083,56.1,East-1
1084,49.6,East-1
1085,38.3,South-1
1086,33.6,West-2
1087,41.5,South-2
1088,33.1,North-2
1089,56.7,West-2
1090,34.7,West-2
1091,48.9,North-2
1092,55.5,North-1
1093,33.9,North-1
1094,30.4,West-2
1095,56.4,East-1
1096,43.6,South-2
1097,37.2,West-2
1098,59.9,West-2
1099,52.1,North-2
1100,41.0,West-2
1101,53.5,West-1
1102,41.8,North-2
1103,33.5,East-2
1104,37.0,East-1
1105,56.8,West-1
1106,40.0,West-2
1107,34.7,South-1
1108,35.4,South-2
1109,32.9,East-2
1110,34.9,North-2
1111,41.4,West-2
1112,58.8,North-1
1113,48.7,East-1
1114,43.8,South-1
1115,37.4,South-2
1116,59.0,North-2
1117,44.5,North-2
1118,59.3,East-2
1119,56.6,East-2
1120,42.9,South-1
1121,51.1,North-1
1122,43.5,East-1
1123,53.6,South-2
1124,54.1,West-2
1125,54.1,West-2
1126,33.0,South-1
1127,51.2,West-1
1128,42.7,North-1
1129,47.4,South-1
1130,33.2,West-2
1131,55.5,North-1
1132,33.7,East-2
1133,36.8,North-1
1134,41.3,West-2
1135,34.5,East-1
1136,43.0,North-1
1137,37.4,West-2
1138,47.8,East-2
1139,48.1,South-1
1140,31.7,West-2
1141,53.4,West-1
1142,51.4,South-2
1143,46.7,North-2
1144,30.5,South-2
1145,32.8,West-2
1146,30.4,South-1
1147,41.4,South-2
1148,38.4,South-1
1149,30.7,South-1
1150,38.5,West-1
1151,38.6,South-1
1152,52.5,West-2
1153,41.2,North-2
1154,34.5,South-2
1155,56.2,East-1
1156,44.8,West-2
1157,36.0,West-2
1158,55.0,North-1
1159,43.4,West-2
1160,32.1,West-2
1161,58.4,East-1
1162,44.0,North-2
1163,39.2,East-1
1164,48.0,South-2
1165,50.5,East-1
1166,56.3,West-1
1167,34.9,West-2
1168,44.3,North-2
1169,33.0,North-1
1170,39.4,South-1
1171,33.2,North-1
1172,43.3,East-1
1173,52.7,South-2
1174,41.8,South-1
1175,32.6,East-2
1176,31.8,West-2
1177,36.6,East-2
1178,33.2,West-2
1179,56.2,East-1
1180,55.8,East-1
1181,53.2,West-1
1182,39.2,North-1
1183,54.7,West-2
1184,32.2,East-1
1185,55.2,North-1
1186,34.0,South-2
1187,37.0,East-1
1188,48.0,East-2
1189,48.7,South-1
1190,30.6,West-2
1191,32.3,East-2
1192,51.2,North-1
1193,52.1,North-1
1194,37.7,South-2
1195,37.2,East-1
1196,49.3,West-1
1197,41.3,South-1
1198,47.0,North-2
1199,45.2,South-2
1200,47.6,East-2
1201,35.7,East-2
1202,37.0,West-1
1203,32.2,West-1
1204,40.1,West-2
1205,51.8,West-2
1206,59.5,West-1
1207,44.7,East-2
1208,43.8,East-1
1209,55.1,South-2
1210,58.7,South-1
1211,54.1,East-1
1212,30.0,West-1
1213,56.3,South-1
1214,49.9,South-1
1215,42.4,North-2
1216,52.9,East-1
1217,59.8,East-2
1218,47.1,North-2
1219,52.9,South-2
1220,30.0,East-1
1221,44.0,North-1
1222,38.7,West-2
1223,32.0,West-1
1224,32.3,East-1
1225,52.4,North-2
1226,41.5,South-1
1227,52.4,South-2
1228,52.5,North-2
1229,35.6,West-1
1230,41.8,North-1
1231,44.9,North-2
1232,44.2,East-2
1233,48.1,North-2
1234,47.8,East-2
1235,36.0,North-2
1236,50.9,North-2
1237,49.7,East-1
1238,38.0,North-2
1239,38.9,West-2
1240,47.9,East-1
1241,49.9,South-1
1242,30.7,East-1
1243,48.9,South-1
1244,52.7,West-1
1245,46.5,East-2
1246,56.4,East-1
1247,32.1,North-2
1248,44.0,South-2
1249,58.3,East-2
1250,54.7,East-1
1251,36.1,West-1
1252,58.4,North-2
1253,58.3,West-2
1254,55.9,North-2
1255,51.6,North-1
1256,39.7,North-2
1257,45.8,East-1
1258,38.5,North-1
1259,57.2,East-1
1260,40.8,South-2
1261,35.5,West-1
1262,58.7,South-2
1263,34.7,North-1
1264,45.2,West-2
1265,32.1,North-1
1266,54.0,South-1
1267,37.5,West-2
1268,54.1,West-1
1269,50.7,West-1
1270,42.6,West-1
1271,48.2,South-1
1272,36.9,South-2
1273,52.5,South-2
1274,39.9,East-2
1275,47.8,North-2
1276,51.9,East-1
1277,34.1,North-1
1278,59.0,North-2
1279,56.3,South-2
1280,35.4,East-2
1281,50.4,North-2
1282,56.4,West-1
1283,57.8,West-2
1284,57.4,West-1
1285,44.5,South-2
1286,59.8,West-2
1287,55.3,South-1
1288,39.3,West-1
1289,45.0,North-1
1290,55.9,West-2
1291,54.7,West-2
1292,53.9,West-2
1293,41.9,South-2
1294,46.3,South-2
1295,45.6,West-1
1296,36.6,South-2
1297,59.4,South-1
1298,47.3,South-1
1299,32.4,North-2
1300,35.8,East-1
1301,30.1,South-1
1302,54.1,East-2
1303,50.9,North-1
1304,45.2,North-1
1305,38.9,West-2
1306,54.5,North-2
1307,39.6,West-2
1308,51.0,East-1
1309,35.6,West-1
1310,47.9,South-2
1311,36.4,North-1
1312,49.8,East-2
1313,45.0,West-2
1314,41.3,South-1
1315,57.0,West-2
1316,31.6,West-2
1317,45.2,East-1
1318,52.3,West-1
1319,49.0,West-1
1320,60.0,North-2
1321,44.1,West-1
1322,36.4,East-2
1323,59.8,South-1
1324,46.0,North-1
1325,44.1,North-1
1326,37.6,West-1
1327,54.4,East-1
1328,47.3,West-1
1329,33.7,South-1
1330,34.0,South-1
1331,38.7,West-2
1332,55.9,West-1
