measurement_ts,parcel_id,sensor_id,humidity,temperature,soil_ph,battery_pct
2026-01-01 09:21:00,West-1,S-013,57.7,9.6,5.69,24.2
2026-01-01 10:10:00,West-1,S-006,37.7,22.5,6.88,28.0
2026-01-01 10:29:00,South-1,S-003,61.2,20.0,5.7,52.0
2026-01-01 10:33:00,North-1,S-033,63.8,11.8,6.43,47.4
2026-01-01 10:40:00,North-1,S-012,44.8,31.1,7.12,78.6
2026-01-01 10:44:00,North-1,S-036,76.1,29.0,6.61,55.7
2026-01-01 11:10:00,East-2,S-022,79.1,34.5,7.4,43.5
2026-01-01 15:06:00,North-2,S-025,59.6,22.5,7.6,42.4
2026-01-01 15:36:00,North-2,S-023,46.7,31.5,6.91,65.9
2026-01-01 16:07:00,South-1,S-037,56.2,32.4,6.27,50.9
2026-01-01 16:31:00,South-2,S-001,63.0,5.9,6.81,38.9
2026-01-01 16:58:00,East-2,S-027,64.8,30.9,7.32,61.1
2026-01-01 17:41:00,East-2,S-034,37.2,-0.8,6.88,56.4
2026-01-01 17:59:00,South-1,S-013,53.1,21.6,5.57,34.2
2026-01-01 18:14:00,South-1,S-010,46.4,4.6,7.14,90.3
2026-01-01 19:10:00,South-2,S-021,27.9,29.9,6.81,42.9
2026-01-01 19:49:00,West-1,S-032,26.3,33.5,6.96,84.6
2026-01-01 20:44:00,North-1,S-007,52.5,28.3,7.46,17.6
2026-01-01 21:54:00,South-2,S-013,60.8,0.3,7.71,18.7
2026-01-01 22:19:00,South-2,S-015,25.5,34.6,5.76,52.8
2026-01-01 23:05:00,East-2,S-014,24.0,20.0,6.53,70.5
2026-01-01 23:14:00,East-1,S-017,23.1,25.4,6.71,77.1
2026-01-01 23:42:00,South-1,S-036,76.1,19.4,6.46,23.7
2026-01-02 03:36:00,South-1,S-023,31.5,28.2,6.94,82.8
2026-01-02 03:39:00,West-1,S-008,41.1,23.1,6.89,61.9
2026-01-02 03:44:00,North-1,S-006,38.8,9.0,5.65,96.0
2026-01-02 03:54:00,North-1,S-031,74.7,22.0,6.88,10.8
2026-01-02 04:00:00,North-1,S-035,56.3,3.6,7.19,81.3
2026-01-02 04:39:00,South-1,S-037,22.4,26.0,6.58,68.6
2026-01-02 04:58:00,East-2,S-038,33.2,0.6,6.95,30.6
2026-01-02 05:03:00,West-1,S-006,66.8,10.3,6.31,78.9
2026-01-02 06:17:00,South-2,S-025,54.2,9.9,5.72,54.0
2026-01-02 08:12:00,East-2,S-028,43.1,11.1,6.16,93.0
2026-01-02 08:14:00,South-2,S-017,34.8,15.5,7.71,84.9
2026-01-02 08:26:00,South-1,S-011,79.3,20.8,7.78,49.8
2026-01-02 09:04:00,East-1,S-022,66.9,13.2,7.04,76.2
2026-01-02 09:11:00,West-1,S-015,46.8,15.6,5.75,38.0
2026-01-02 10:00:00,West-1,S-001,57.7,20.0,5.56,73.7
2026-01-02 10:00:00,East-2,S-037,30.8,21.3,6.26,36.3
2026-01-02 10:06:00,East-2,S-011,58.3,34.2,6.59,20.4
2026-01-02 10:18:00,East-1,S-032,51.1,31.8,5.77,79.7
2026-01-02 10:59:00,East-2,S-035,45.2,14.6,6.14,88.2
2026-01-02 11:07:00,West-1,S-004,43.8,11.8,6.39,17.3
2026-01-02 13:32:00,North-2,S-030,69.8,22.4,6.54,96.0
2026-01-02 15:56:00,West-1,S-029,53.4,18.4,5.72,19.2
2026-01-02 16:30:00,West-1,S-008,43.0,9.6,6.37,51.4
2026-01-02 17:49:00,North-1,S-031,27.1,7.4,5.65,70.1
2026-01-02 17:53:00,East-1,S-036,59.6,26.8,7.53,24.8
2026-01-02 19:00:00,South-1,S-006,69.4,32.8,6.58,47.2
2026-01-02 19:30:00,South-2,S-020,50.1,23.5,6.13,86.3
2026-01-02 20:58:00,South-1,S-016,24.0,1.7,6.02,65.8
2026-01-02 20:59:00,West-2,S-031,26.6,6.5,7.42,26.6
2026-01-02 20:59:00,East-2,S-002,63.2,19.9,6.63,15.7
2026-01-02 22:27:00,South-2,S-004,40.3,24.7,6.43,29.1
2026-01-03 00:03:00,East-1,S-033,71.6,19.5,5.6,74.6
2026-01-03 00:24:00,North-2,S-025,75.9,4.0,7.25,96.1
2026-01-03 00:41:00,North-2,S-019,58.8,32.0,6.3,85.8
2026-01-03 01:14:00,South-2,S-019,44.1,29.7,7.61,21.6
2026-01-03 02:32:00,East-2,S-036,29.3,34.7,5.56,30.2
2026-01-03 02:53:00,South-2,S-040,27.4,27.4,6.8,81.3
2026-01-03 03:41:00,South-1,S-024,73.9,27.5,7.48,90.9
2026-01-03 04:33:00,South-2,S-009,48.1,24.8,6.14,98.4
2026-01-03 05:18:00,North-2,S-004,75.5,4.5,7.31,53.7
2026-01-03 05:21:00,South-1,S-030,58.6,-0.8,7.8,86.3
2026-01-03 05:45:00,South-2,S-023,56.1,30.9,7.8,21.7
2026-01-03 05:48:00,East-1,S-012,72.4,5.5,6.62,18.9
2026-01-03 06:18:00,North-1,S-031,64.0,16.7,6.48,45.5
2026-01-03 06:51:00,East-2,S-023,26.5,16.8,5.76,17.0
2026-01-03 07:04:00,North-1,S-011,33.9,22.6,6.65,71.1
2026-01-03 07:15:00,North-2,S-033,45.5,1.5,7.02,61.2
2026-01-03 08:10:00,North-2,S-030,21.0,32.4,5.86,51.1
2026-01-03 08:23:00,North-2,S-034,66.0,25.6,5.55,78.3
2026-01-03 09:27:00,North-2,S-010,57.6,27.3,6.47,15.7
2026-01-03 10:23:00,North-2,S-002,22.9,2.3,6.52,21.1
2026-01-03 10:27:00,North-1,S-033,42.4,18.9,7.79,96.4
2026-01-03 13:10:00,West-1,S-029,65.2,19.3,5.71,48.9
2026-01-03 13:14:00,South-2,S-016,79.3,27.1,5.97,84.7
2026-01-03 14:50:00,South-2,S-028,78.6,25.3,6.5,36.1
2026-01-03 15:11:00,South-2,S-005,39.8,18.6,6.39,32.7
2026-01-03 15:27:00,East-1,S-011,65.3,-0.2,5.69,49.9
2026-01-03 15:37:00,South-2,S-006,38.8,31.4,5.97,23.6
2026-01-03 16:03:00,West-2,S-018,42.2,-0.2,6.38,93.5
2026-01-03 17:29:00,North-2,S-024,40.7,16.0,6.71,21.0
2026-01-03 17:32:00,South-1,S-028,35.5,21.5,6.89,82.2
2026-01-03 19:09:00,East-2,S-026,31.0,25.6,6.79,85.8
